Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
25739966;1000800379457280700;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739967;1000800379467283600;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739968;1000800379477280000;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739969;1000800379487315200;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739970;1000800379497273900;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739971;1000800379507289300;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739972;1000800379517410700;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739973;1000800379527407800;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739974;1000800379537487100;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739975;1000800379547398900;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739976;1000800379557406500;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739977;1000800379567410800;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739978;1000800379577527400;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739979;1000800379587552200;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739980;1000800379597531100;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739981;1000800379607541000;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739982;1000800379617534700;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739983;1000800379627537600;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739984;1000800379637681500;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739985;1000800379647646900;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739986;1000800379657653300;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739987;1000800379667661700;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739988;1000800379677656600;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739989;1000800379687668300;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739990;1000800379697778200;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739991;1000800379707795600;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739992;1000800379717825600;63758938349139;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739993;1000800379727789600;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739994;1000800379737816200;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739995;1000800379747793600;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739996;1000800379757786900;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739997;1000800379767928900;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739998;1000800379777901600;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25739999;1000800379787931600;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740000;1000800379797902800;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740001;1000800379807913400;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740002;1000800379817909400;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740003;1000800379828036400;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740004;1000800379838088900;63758938349140;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740005;1000800379848120000;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740006;1000800379858027500;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740007;1000800379868034100;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740008;1000800379878026900;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740009;1000800379888169600;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740010;1000800379898154300;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740011;1000800379908162900;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740012;1000800379918168000;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740013;1000800379928163900;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740014;1000800379938166500;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740015;1000800379948148400;63758938349144;(0.607, 1.300, 0.422);(-0.202, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740017;1000800379968287800;63758938349158;(0.607, 1.300, 0.422);(-0.201, 0.498, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740018;1000800379978284100;63758938349173;(0.607, 1.300, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740019;1000800379988283000;63758938349173;(0.607, 1.300, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740020;1000800379998285900;63758938349190;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740021;1000800380008281200;63758938349206;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740022;1000800380018419800;63758938349206;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740023;1000800380028409500;63758938349223;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740024;1000800380038510100;63758938349223;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740025;1000800380048418000;63758938349235;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740026;1000800380058399900;63758938349252;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740027;1000800380068414600;63758938349268;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740028;1000800380078552900;63758938349268;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740029;1000800380088531200;63758938349284;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740030;1000800380098538300;63758938349284;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740031;1000800380108525000;63758938349301;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740032;1000800380118537500;63758938349318;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740033;1000800380128534700;63758938349318;(0.607, 1.299, 0.422);(-0.201, 0.500, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740034;1000800380138539500;63758938349335;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740035;1000800380148665700;63758938349335;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740036;1000800380158650700;63758938349353;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740037;1000800380168663200;63758938349353;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.025, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740038;1000800380178664500;63758938349369;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740039;1000800380188709300;63758938349387;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740040;1000800380198660300;63758938349387;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740041;1000800380208786000;63758938349403;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740042;1000800380218834900;63758938349403;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740043;1000800380228911700;63758938349421;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740044;1000800380238827900;63758938349438;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740045;1000800380248794200;63758938349438;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740046;1000800380258795400;63758938349455;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740047;1000800380268900100;63758938349455;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740048;1000800380278924900;63758938349471;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740049;1000800380288907100;63758938349488;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740050;1000800380298922700;63758938349488;(0.607, 1.299, 0.423);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740051;1000800380308902500;63758938349505;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740052;1000800380318954500;63758938349505;(0.607, 1.299, 0.422);(-0.201, 0.499, 0.026, 0.843);INVALID;;;INVALID;;;;INVALID;;;;;
25740053;1000800380328912700;63758938349521;(0.607, 1.299, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740054;1000800380339043300;63758938349538;(0.607, 1.299, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740055;1000800380349037300;63758938349538;(0.607, 1.299, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740056;1000800380359119300;63758938349555;(0.607, 1.299, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740057;1000800380369023800;63758938349555;(0.607, 1.299, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740058;1000800380379070500;63758938349571;(0.607, 1.299, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740059;1000800380389031700;63758938349588;(0.607, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740060;1000800380399161800;63758938349588;(0.607, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740061;1000800380409155000;63758938349605;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740062;1000800380419262000;63758938349605;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740063;1000800380429166400;63758938349622;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740064;1000800380439178700;63758938349638;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740065;1000800380449156200;63758938349638;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740066;1000800380459272600;63758938349655;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740067;1000800380469275200;63758938349655;(0.606, 1.299, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740068;1000800380479289000;63758938349671;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740069;1000800380489366000;63758938349688;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740070;1000800380499286100;63758938349688;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740071;1000800380509275200;63758938349705;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740072;1000800380519284900;63758938349705;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740073;1000800380529411500;63758938349721;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740074;1000800380539436400;63758938349738;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740075;1000800380549500200;63758938349738;(0.606, 1.300, 0.422);(-0.203, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740076;1000800380559402800;63758938349755;(0.606, 1.300, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
25740077;1000800380569404300;63758938349755;(0.606, 1.300, 0.422);(-0.202, 0.499, 0.026, 0.842);INVALID;;;INVALID;;;;INVALID;;;;;
